busqueda,titulo,empresa,ubicacion,url,salario,plataforma,descripcio,Fecha De Publicacion
frontend,Frontend Developer,TRATO,"Huixquilucán, México, México",https://mx.linkedin.com/jobs/view/frontend-developer-at-trato-2762859087?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=l2QeupHULC9aWVQ800QyHA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"We are actively seeking a Front End Developer / Designer who’s passionate about creating beautiful and engaging experiences using the latest front-end technologies. The ideal candidate will be familiar with React, Context, Hooks and the latest web technologies and standards but also has an excellent understanding of design principles. We’re looking for someone who can code responsive design concepts in HTML and CSS that are cross-browser compatible and standards compliant.It's important that you're deadline- and detail-oriented with strong project management skills and have the ability to execute multiple projects at once. Oh, and it’s a bonus if you love blockchain! This position is REMOTE, full-time and with lots of opportunity for growth.Position SummaryThe Web Designer is responsible for designing interactive materials that help engage businesses that are seeking to innovate their legal process.Primary ResponsibilitiesDesign, code and test responsive, interactive websites in HTML5 and CSS3Provide ongoing maintenance to existing websitesRequirements and QualificationsFluent in ZEPLIN, REACT, HOOKS, CONTEXT, HTML5, CSS3, (knowledge of Sass a plus!)Comfortable with latest version of BootstrapKnowledge in UX, Figma or any other wireframe toolDesigning Experience with AdobeFamiliar with web server principlesA bachelor’s degree in a related field (or at least 2 yrs. of relevant work experience)PerksComfortable, relaxed, and fun working environmentHealth insuranceVacation and personal time offRetirement planOpportunity to attend conferencesHappy Hour Fridays!All applicants must be able to provide reference sites demonstrating their knowledge of REACT, HTML and CSS. Compensation based on prior experience and skill set.Interested? Please apply here or send us your resume, portfolio and salary requirements to jobs@trato.io Applications sent without these items will be ignored.",01/11/2021
frontend,Desarrollador de front-end,Interware de México,"México, México",https://mx.linkedin.com/jobs/view/desarrollador-de-front-end-at-interware-de-m%C3%A9xico-2786164528?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=qh0b0lpIYGwPBRxxAkhaRg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"En Interware nos encontramos buscando talento para nuestro equipo de desarrollo.Únete comoDesarrollador Front end REACT .¿Qué necesitamos?React JSReact Native (deseable)Angular (deseable)Prototipado y maquetado: HTML, CSS, LES, POST CSS, SCSSUI: Material UI - BootstrapUnit testing: Jest - Enzyme - MochaVersionamiento de código: GIT¿Qué se hará?Crea la estructura interna del sitio web para hacerlo funcional. Simplificar el proceso de transferencia de datos entre el navegador y el servidor. Trabajar en estrecha colaboración con el equipo de UX y brindar las aportaciones necesarias para que el sitio web sea funcional. Responsable de escribir códigos comprobables y eficientes. Encargado del marco, las funciones del lado del servidor, la integración de API y la lógica empresarial. Realizar los mantenimientos de rutina del sitio cuando sea necesario.¿Qué ofrecemos?Home office.Horario de lunes a viernes.Si te encuentras interesado manda tu CV al correo paola.rivera@interware.com.mx",10/11/2021
frontend,Desarrollador web,Breakers,"Toluca de Lerdo, México, México",https://mx.linkedin.com/jobs/view/desarrollador-web-at-breakers-2755545326?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=ySqVv6rLIaMIIBMtWryGtQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"Desarrollador Web con experiencia en Wordpress y Shopify.Experiencia deseable:Desarrollo de sitios web, uso de Adobe xd y similares.Habilidades:WordPress, Shopify, HTML, CSS, Java, SQL, PHP, PythonAptitudes:Alto nivel de servicio, amabilidad, responsabilidad, proactiv@.Requisito:Residir en Toluca, Estado de México o zonas aledañas (próxima reanudación de labores de forma presencial)Interesados en enviar su CV y Book al correo: talento@breakers.mx",01/11/2021
frontend,Frontend Developer,Sonatafy Technology | Nearshore Software Development,"México, México",https://mx.linkedin.com/jobs/view/frontend-developer-at-sonatafy-technology-nearshore-software-development-2764629836?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=swDr606FcvkdkOINfsfRqg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"We are doing great things at Sonatafy, come join us!Our requirements are pretty simple, be professional, be driven to continuously improve your skills and domain knowledge, and be ready to have fun. We know work can be hard and it is important to us that we build teams that help each other to learn, grow as engineers and developers, and create the working life that makes coming to work each day worth it. Come do great things!Good Luck!## We are only hiring Mexican Citizens/Residents at this time ##ResponsibilitiesWe use Artificial Intelligence to predict and scale your cloud applications and infrastructure in real-time. By using real-time optimization, all the time, we are able to pass on optimal savings to you.We are seeking a Senior Software Engineering who will build and support our platform. This role is an essential position and job responsibility will include:Building solution components of the AI-powered container and server-less compute platform.Working with the key business stakeholders including; Development Manager, Product Architect, Product Design and Product Management.Resolving any concerns while adhering to the company policy and standards of security.Ensuring proper communication concerning changes in established milestones or challenges that may affect the outcome of a project's completion date.Skills and QualificationsExperience with React, Container, and Micro-service TechnologiesExperience with CI/CD development pipelineExtensive knowledge of unit testing and TDDAbility to communicate effectively with senior management and other departmentsStrong understanding of business goals and standards for customer serviceAbility to effectively organize and manage multiple company initiatives and encourage coworkers to do the sameWhat We Offer:Sonatafy is a growing company of people who love to help our customers to succeed. Our environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible experiences for our customers. We aim to find qualified people quickly, efficiently interview and test them, and submit them to our customers.We provide competitive salaries and some of the best perks in the industry, including:100% Remote Work100% Payment SchemeExcellent Health BenefitsCertification and Career HelpWe also hinge our cultural DNA of being in CTRLI am CLEAR at what I am doing and what I am expected to be doingI am TRANSPARENT in how I am working and moving engagements alongI am RESPONSIBLE in that I think like an owner and the customerI am able to LEAD myself, my team, and our customers to success",01/11/2021
frontend,React Front-end Developer,Clicky Software Development,"México, México",https://mx.linkedin.com/jobs/view/react-front-end-developer-at-clicky-software-development-2790804337?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=Ds3YdqLWsljGFTka4r%2FgLA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"ResponsabilidadesDesarrollar nuevas características de producto usando React.js y construir componentes reutilizables para uso futuro.Optimizar componentes para un máximo rendimiento a través de la mayoría de exploradores web.Traducir diseños UI/UX en código de alta calidad.Desarrollar casos de prueba en conjunto con el equipo de QA.Documentar decisiones e implementaciones técnicas.Presentar avances del producto a las partes interesadas.Habilidades necesariasMínimo de 3 años de experiencia como desarrollador usando React.js.Sólido conocimiento en Javascript, incluyendo manipulación DOM.Experto en el manejo de React.js, sus principales principios y uso de Hooks populares: useState, useEffect, useMemo, useCallback.Experiencia con herramientas comunes de desarrollo como Webpack, NPM, Babel, etc.Familiaridad con Git y modelos de ramificación de código.Habilidad para entender requerimientos de negocio y traducirlos en requerimientos técnicos.Tener una buena comunicación escrita y oral en inglés es fundamental para este puesto.Lo que ofrecemosTrabajo completamente remoto.Trabajar con un stack de tecnologías modernas en conjunto con Big Data (procesamiento de 1 TB diarios).Equipo talentoso.Tareas técnicas desafiantes, curvaturas de aprendizaje veloces y retroalimentación de importancia para tu crecimiento profesional.Prestaciones de leyRango de salario Bruto 65k - 85k mensuales (según experiencia)Stack de tecnologíasJavascript ES6+ReactReduxMaterial UIHighcharts.jsHTML5CSS3Immutable.jsPostCSSAutoprefixerWebpackBabelNice to have Python Nota: La vacante es para trabajar con cliente extranjero por lo que es necesario un buen nivel de ingles conversacional.",13/11/2021
frontend,Frontend Developer React.js,Listopro,"México, México",https://mx.linkedin.com/jobs/view/frontend-developer-react-js-at-listopro-2790878133?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=%2B5jgIqNdhm1alZlHRhRyOg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"Listopro is a platform that connects candidates with companies in Latin America. It is the first where when completing your profile, it is the companies that invite you to their processes.How does the process work?1.The first step is to complete your profile on our page.2.We will contact you to be validated.3. Companies invite you to their processes.4.Creating an account is completely free.5.If you already have an account, just go to listopro.com and update your profile.About position.We're transforming access to primary health care in Mexico by providing companies access to prevention and information on the health and well-being of their employees while providing quality primary care at an affordable cost to their employees and their families.Being part of our team, you not only have the opportunity to develop a career in a fast-paced environment working with amazing team members, but you will also be able to put your mark on the transformation of the health and well-being of Mexico. To help us achieve that, we're looking a Frontend ReactJS to join our mission!Responsibilities:Develop front-end applications for customers and for internal usage.Build reusable code and libraries for future use.Ensure the technical feasibility of UI/UX designs.Build pixel-perfect, buttery smooth UIs.Maintain code and write automated tests to ensure the product is of the highest quality.Work together with design, product, and development teams to deliver an exceptional product to company's customers.Requirements:+3 years of experience with Front-end Development.Relevant experience using ReactJS with TypeScript.Knowledge of Styled Components.Knowledge of Angular, Javascript (ES6), HTML5, and CSS.Knowledge of the whole development process.Ability to thrive in a fast-paced, dynamic startup environment.English skills (ability to effectively communicate via written and spoken English).Remoto en Latinoamérica.",13/11/2021
frontend,Programador web,Grupo 4S,"México, México",https://mx.linkedin.com/jobs/view/programador-web-at-grupo-4s-2788318063?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=8Ad6T0xcRsLEDuXiNPTHtA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"Experiencia requerida: ( PROGRAMADOR WEB EXPERIENCIA OBLIGATORIA)Desarrollar sitios web basados en las propuestas gráficas realizadas por los diseñadores.Llevar un control de todos los parámetros claveMantenimiento frecuente de los sitios web para tener controles de seguridad actualizadosSe requiere experiencia mínima de 2 años en WordPress para desarrollar sitios web de alto nivel.Indispensable conocimientos y habilidades de optimización de carga (WPO). Compresión de imágenes y archivos para asegurar que los sitios web se carguen en tiempo y formaCreación de sitios responsivos en dispositivos móviles, capacidad de realizar cualquier tipo de ajuste para asegurar la correcta funcionalidad en éste rubroAmplia experiencia en HTML y CSS para la elaboración de plantillas únicas y personalizadas. (Las herramientas que actualmente utilizamos son WebFlow y Advanced Custom Fields)Capacidad para administrar, organizar y editar los archivos desde CPanelConocimientos y experiencia migrando e instalando manualmente WordpressConocimientos en:WebFlowWordPress OBLIGATORIOAdvanced Custom FieldsDiseño GráficoJavascript deseablePhP deseableContar con equipo (Laptop)Horario de Lunes a ViernesHome Office)Si cuentas con la experiencia y conocimientos requeridos postularse por este medio con cv personal.Tipo de puesto: Tiempo completo, IndefinidoSalario: $15,000.00 - $17,000.00 al mes ",11/11/2021
frontend,Desarrollador de JavaScript,BeGo,"Tlalnepantla de Baz, México, México",https://mx.linkedin.com/jobs/view/desarrollador-de-javascript-at-bego-2770765840?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=svIg%2FzG6krOADOWh1FmjEw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"Por crecimiento tenemos disponibles las siguientes vacantes en el área de tecnología: ✅Desarrollador Back-End JAVASCRIPT Experiencia mínima de 1 año en un puesto similarConocimientos indispensables:•MongoDB (de preferencia)•NodeJs (Express, Mongoose, AWS S3)•Patrón de diseño Modelo-vista-controlador•Arquitectura de microservicios •Servicios web API REST y SOAP•Metodología Scrum •Programación orientada a objetos Preferente: inglés avanzado (por lo menos en comprensión)✅Desarrollador Front-End JAVASCRIPT Experiencia mínima de 1 año en un puesto similarConocimientos indispensables:•HTML5 y CSS3•JavaScript (ES6)•Maquetación de interfaces •Diseño responsivo •Consumo de API Rest •Frameworks: Angular 2+ (preferentemente), AngularJS, React, o Vue•Experiencia en aplicaciones móviles híbridas•Ionic (Apache Cordova, Phonegap) y sus plugins.•Procesadores CSS (Sass,Less, etc)•Capacitor•TypeScript •Frameworks CSSPreferente: inglés avanzado (por lo menos en comprensión)✅Desarrollador Full StackSi estás interesad@ envíame tu CV por este medio, al correo Aleksa@bego.ai o al 55 8580 9865 por WhatsApp",01/11/2021
frontend,Junior Software Engineer,Capgemini Engineering,"Cuautitlán Izcalli, México, México",https://mx.linkedin.com/jobs/view/junior-software-engineer-at-capgemini-engineering-2503859383?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=UH0xB2PchTs0nmsLJnLR%2Bg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"This is a unique opportunity to join a high-spirited, dedicated, talented and fun team of Engineers working in a challenging project for the automotive industry in Estado de Mexico.Come and start your career in a large worlwide company! WHAT YOU WILL DO:Work in conjunction with the user experience design team to define, scope, and refine the user-facing features and interactions.Design, implement, and deliver the in-vehicle software utilizing the underlying platform, frameworks, and SDKs.Work in conjunction with platform software engineers to analyze and optimize the system to achieve a highly responsive user experience.Diagnose, analyze, and resolve relevant issues based on testing, and user validation.BE THE PERFECT MATCH: At least 1 year of industry experience or experience through academic projects: front-end software development,Strong knowledge of Object Oriented Programming. Knowledge or experience with C++, JavaScript, Java or C# languages, with high proficiency to write clean and well-structured code.Ability to communicate technical ideas clearly and effectively.Passion for user interactions and doing so with excellence. It is nice to have (but not necessary):knowledge of QT framework and QML language (or interest in learning).WHY US: Enjoy a great work environment, fresh and flexible.Get competitive benefits above the law.Build your future within a worldwide leader in ER&D projects.Feel free to grow within different industries and choose your career path.Be part of a great family of Engineers, and people all over Mexico and around the world.",01/11/2021
frontend,FRONT END JAVASCRIPT DEVELOPER - REMOTE,Developers.Net ,"México, México",https://mx.linkedin.com/jobs/view/front-end-javascript-developer-remote-at-developers-net-2726994114?refId=X3An95NLqZ3rAy0lfn%2Fufw%3D%3D&trackingId=hufxt88v1T%2BH7qmetx2J1w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,N/A,Linkedin,"Who we are: We are a mission-driven company with headquarters in Austin, Texas operating since 2017. Founded by a team of Highly skilled Senior Developers, Architects, and IT Executives with more than 20 years of experience in the Software Development industry. We are a family of passionate, enthusiastic, and energetic developers that take pride in the code we write. We roll up our sleeves to do what has to be done for our customers' and partners' projects, and we are not afraid to voice our ideas and experiment with new technologies. What makes this job so awesome? This is a 100% remote, full time engagement.  We provide  Immersive productpersonalization experiences that drive loyalty and conversions. Shoppers from around the globe add over5 million personalized products to their carts every year with using our platform features:PHOTOREALISTIC 3D PRODUCT CUSTOMIZATION PRODUCT VISUALIZATION  TEXT PERSONALIZATIONUSER GENERATED CONTENT AND CLIP ART PRODUCT BUNDLINGThe product customization platform increases brand loyalty and profit margins for our customers by activating mass personalization with photorealistic 3D visualization and electrifying user experiences.  Among many others, our global clients include:● Fender ● Louis Vuitton ● Oakley We are looking for a Senior front end developer to join the Professional Services team to implement the platform for our customers. To be a Rock Star candidate you need to have this skills! ● Bachelor’s degree in computer science or equivalent ● 3+ years of professional experience in software engineering ● Strong communication skills ● Written and spoken English ● Proficiency in Javascript ● Familiarity with command line POSIX environments like Linux ● Ability to quickly, independently, and enjoyably learn new technologies Your job esponsibilities will be: ● Conceive and document technical designs for platform implementations ● Write maintainable and performant Javascript and CSS ● Create and update ConfigureID implementations for our customers ○ Skin UI’s ○ Add custom capabilities to platform implementations ○ Write code that interacts with Javascript API’s such as Google Analytics and Salesforce Commerce Cloud ● Collaboratively solve problems with designers, developers, clients, and partners ● Test and deploy code with CI/CD systems ● Clearly document work via inline comments and wiki guides ● Support existing customers ● Contribute to pre-sales engineering Job Perks and benefits:Attractive competitive compensation Automatic annual salary raise between 2.5% and 5% Major medical insurance Accounting support stipend Constant Professional Development: Paid courses and training Paid Vacation Days package above the law Paid Mexican holidays 100% remote work always & forever! (work from anywhere you want)Developers.Net is a place where all our members feel welcome, valued, and encouraged to contribute with their unique skills, ideas, and voice to the IT industry and to our company's success.",16/09/2021
